LOCATION,MEASURE,AGGREGATION,COL4,FREQ,DATE,CPI
IND,CPI,TOT,AGRWTH,M,2017-01,1.858736
IND,CPI,TOT,AGRWTH,M,2017-02,2.621723
IND,CPI,TOT,AGRWTH,M,2017-03,2.61194
IND,CPI,TOT,AGRWTH,M,2017-04,2.214022
IND,CPI,TOT,AGRWTH,M,2017-05,1.090909
IND,CPI,TOT,AGRWTH,M,2017-06,1.083032
IND,CPI,TOT,AGRWTH,M,2017-07,1.785714
IND,CPI,TOT,AGRWTH,M,2017-08,2.517986
IND,CPI,TOT,AGRWTH,M,2017-09,2.888087
IND,CPI,TOT,AGRWTH,M,2017-10,3.23741
IND,CPI,TOT,AGRWTH,M,2017-11,3.971119
IND,CPI,TOT,AGRWTH,M,2017-12,4
IND,CPI,TOT,AGRWTH,M,2018-01,5.109489
IND,CPI,TOT,AGRWTH,M,2018-02,4.744525
IND,CPI,TOT,AGRWTH,M,2018-03,4.363636
IND,CPI,TOT,AGRWTH,M,2018-04,3.971119
IND,CPI,TOT,AGRWTH,M,2018-05,3.956835
IND,CPI,TOT,AGRWTH,M,2018-06,3.928571
IND,CPI,TOT,AGRWTH,M,2018-07,5.614035
IND,CPI,TOT,AGRWTH,M,2018-08,5.614035
IND,CPI,TOT,AGRWTH,M,2018-09,5.614035
IND,CPI,TOT,AGRWTH,M,2018-10,5.226481
IND,CPI,TOT,AGRWTH,M,2018-11,4.861111
IND,CPI,TOT,AGRWTH,M,2018-12,5.244755
IND,CPI,TOT,AGRWTH,M,2019-01,6.597222
IND,CPI,TOT,AGRWTH,M,2019-02,6.968641
IND,CPI,TOT,AGRWTH,M,2019-03,7.665505
IND,CPI,TOT,AGRWTH,M,2019-04,8.333333
IND,CPI,TOT,AGRWTH,M,2019-05,8.650519
IND,CPI,TOT,AGRWTH,M,2019-06,8.591065
IND,CPI,TOT,AGRWTH,M,2019-07,5.980066
IND,CPI,TOT,AGRWTH,M,2019-08,6.312293
IND,CPI,TOT,AGRWTH,M,2019-09,6.976744
IND,CPI,TOT,AGRWTH,M,2019-10,7.615894
IND,CPI,TOT,AGRWTH,M,2019-11,8.609271
